iter	Logloss
0	0.6808343567
1	0.671132542
2	0.6649361851
3	0.6585816381
4	0.6543844598
5	0.6506374143
6	0.6446526593
7	0.6403990551
8	0.6339977111
9	0.6296265282
10	0.6260150333
11	0.6219225443
12	0.6184608452
13	0.614647238
14	0.6127175744
15	0.6110757465
16	0.6075019673
17	0.6043771392
18	0.6019579224
19	0.5997293518
20	0.5976647097
21	0.5950477711
22	0.5923538994
23	0.589621849
24	0.5873915622
25	0.5859177138
26	0.5850765003
27	0.5835144908
28	0.5806582837
29	0.5788372189
30	0.5781276249
31	0.5761270807
32	0.5742225729
33	0.5721108279
34	0.5709478537
35	0.5671840345
36	0.5648150126
37	0.5630061013
38	0.5614750833
39	0.5604577271
40	0.5565384467
41	0.5555770517
42	0.5532881484
43	0.5518780982
44	0.5498595048
45	0.5481745372
46	0.5471508011
47	0.5461621458
48	0.5452812299
49	0.5431795276
50	0.5410622475
51	0.5399907558
52	0.5385313297
53	0.5366462591
54	0.5349740171
55	0.5338893084
56	0.5329335924
57	0.5319734346
58	0.5311012456
59	0.5301922312
60	0.5274975293
61	0.5253448955
62	0.5238513386
63	0.5227141091
64	0.5212210589
65	0.5208109966
66	0.5188725875
67	0.5179848012
68	0.517176319
69	0.5156076936
70	0.5129780288
71	0.5121533181
72	0.5107469467
73	0.5096565971
74	0.5083192062
75	0.5068329986
76	0.5062224898
77	0.5051036211
78	0.5041498992
79	0.5021830492
80	0.5008084592
81	0.4995292506
82	0.4985762326
83	0.4975350657
84	0.4967838791
85	0.4957413874
86	0.4946606813
87	0.4940490029
88	0.492608754
89	0.4916938974
90	0.4908856087
91	0.4886191146
92	0.4879120959
93	0.4871218565
94	0.485918031
95	0.4844444693
96	0.4822435828
97	0.4802038634
98	0.4776026794
99	0.4760248901
100	0.4744486189
101	0.4731347896
102	0.4715937652
103	0.4693112823
104	0.4665201138
105	0.4643006324
106	0.4631231836
107	0.4607421419
108	0.4595284834
109	0.4576938277
110	0.4560496662
111	0.4554942787
112	0.4544376728
113	0.4531206753
114	0.4522502773
115	0.4505674944
116	0.4492465647
117	0.4476144461
118	0.445909291
119	0.4442297307
120	0.4430548899
121	0.4412704532
122	0.4400832362
123	0.4385568154
124	0.4372276305
125	0.436675591
126	0.4354360387
127	0.4347092767
128	0.4340207202
129	0.4327663962
130	0.4315968437
131	0.4302194022
132	0.4292129724
133	0.4277152752
134	0.4262536001
135	0.4246942982
136	0.4232588184
137	0.4220973394
138	0.4207637956
139	0.4199438425
140	0.4184300967
141	0.4169074192
142	0.4151097007
143	0.4136289266
144	0.4121354382
145	0.4107248726
146	0.4102170018
147	0.4091142849
148	0.4076820761
149	0.4063543391
