iter	Passed	Remaining
0	1	200
1	2	212
2	3	187
3	4	172
4	5	164
5	8	197
6	9	189
7	10	181
8	12	202
9	14	198
10	15	195
11	17	198
12	18	194
13	19	193
14	21	190
15	22	187
16	24	188
17	25	188
18	26	184
19	27	180
20	28	176
21	29	173
22	30	169
23	32	168
24	33	165
25	34	162
26	35	159
27	36	157
28	37	155
29	38	152
30	39	150
31	40	148
32	41	146
33	42	144
34	43	142
35	44	140
36	45	138
37	46	136
38	47	135
39	48	133
40	49	132
41	50	130
42	51	128
43	52	127
44	53	125
45	54	123
46	55	122
47	56	120
48	57	119
49	59	118
50	60	117
51	61	116
52	62	114
53	63	113
54	64	111
55	65	110
56	67	109
57	68	108
58	69	106
59	70	105
60	71	103
61	72	102
62	73	101
63	74	100
64	75	98
65	76	97
66	77	96
67	78	94
68	79	93
69	81	92
70	82	91
71	83	90
72	84	88
73	85	87
74	86	86
75	87	85
76	88	84
77	89	82
78	90	81
79	91	80
80	93	79
81	94	78
82	95	76
83	96	75
84	97	74
85	98	73
86	99	72
87	100	70
88	101	69
89	102	68
90	104	67
91	106	66
92	107	65
93	108	64
94	109	63
95	110	62
96	111	61
97	112	59
98	113	58
99	114	57
100	116	56
101	117	55
102	118	53
103	119	52
104	120	51
105	121	50
106	123	49
107	124	48
108	125	47
109	126	45
110	127	44
111	130	44
112	131	43
113	133	42
114	134	40
115	135	39
116	136	38
117	137	37
118	138	36
119	140	35
120	142	34
121	144	33
122	145	31
123	146	30
124	148	29
125	149	28
126	150	27
127	152	26
128	153	25
129	155	23
130	156	22
131	158	21
132	160	20
133	161	19
134	163	18
135	164	16
136	166	15
137	167	14
138	169	13
139	171	12
140	172	11
141	174	9
142	175	8
143	177	7
144	179	6
145	180	4
146	182	3
147	183	2
148	185	1
149	186	0
