year_month,trades,win_rate,total_pips,pnl_usd,balance_end,balance_change,month_return_pct
2021-07,39,61.5,310.4,3672.53,13035.01,3035.01,36.73
2022-01,44,59.1,255.4,2892.91,12581.11,-453.89999999999964,22.19
2022-02,70,48.6,266.1,2704.29,14683.59,2102.4799999999996,21.49
2022-03,59,59.3,485.5,10643.74,24510.45,9826.86,72.49
2022-07,79,54.4,495.5,4001.55,13381.1,-11129.35,16.33
2022-08,37,73.0,480.6,10168.43,23364.56,9983.460000000001,75.99
2023-01,66,54.5,358.8,3535.07,13319.57,-10044.990000000002,15.13
2023-02,73,49.3,271.1,1288.02,14537.32,1217.75,9.67
2023-03,62,59.7,473.7,7916.16,21370.51,6833.189999999999,54.45
2023-07,55,41.8,42.0,115.88,9879.56,-11490.949999999999,0.54
2023-08,27,63.0,206.0,2075.27,11954.83,2075.2700000000004,21.01
2024-01,49,65.3,472.1,7026.03,16805.38,4850.550000000001,58.77
2024-02,3,66.7,33.5,537.26,17104.4,299.02000000000044,3.2
2024-07,40,55.0,138.7,1797.55,11638.6,-5465.800000000001,10.51
2024-08,49,59.2,273.8,3273.2,14569.59,2930.99,28.12
2024-09,45,53.3,163.2,1417.17,15081.09,511.5,9.73
2025-01,62,51.6,219.2,1131.99,10677.95,-4403.139999999999,7.51
2025-02,11,45.5,29.5,-95.96,10582.0,-95.95000000000073,-0.9
2025-07,68,51.5,282.2,2297.73,11919.51,1337.5100000000002,21.71
2025-08,62,48.4,198.0,1883.29,13056.31,1136.7999999999993,15.8
2025-09,60,46.7,99.8,2445.52,14644.61,1588.300000000001,18.73
2025-10,10,60.0,49.1,241.53,14812.87,168.26000000000022,1.65
