year_month,trades,win_rate,total_pips,pnl_usd,balance_end,balance_change,month_return_pct
2022-01,42,64.3,367.0,4289.65,14123.98,4123.98,42.9
2022-02,29,55.2,190.5,433.67,14090.28,-33.69999999999891,3.07
2022-07,78,55.1,511.0,4820.09,14595.27,504.9899999999998,34.21
2022-08,78,57.7,525.8,10186.81,22875.33,8280.060000000001,69.8
2022-09,11,54.5,69.5,2675.2,25199.51,2324.1799999999967,11.69
2023-01,60,53.3,302.7,3322.93,12744.85,-12454.659999999998,13.19
2023-02,68,52.9,341.9,1940.18,14490.2,1745.3500000000004,15.22
2023-03,53,54.7,290.7,5402.69,18297.96,3807.7599999999984,37.29
2023-07,30,60.0,166.4,2274.26,12064.55,-6233.41,12.43
2024-01,49,65.3,403.5,6154.61,15935.94,3871.3900000000012,51.01
2024-02,3,66.7,33.5,475.98,16177.13,241.1899999999987,2.99
2024-07,42,52.4,96.4,1519.73,11519.73,-4657.4,9.39
2024-08,48,62.5,340.4,4054.12,14735.24,3215.51,35.19
2024-09,49,53.1,181.8,990.31,14372.51,-362.72999999999956,6.72
2024-10,36,63.9,292.9,5143.33,18395.55,4023.039999999999,35.79
2025-01,3,66.7,14.6,173.74,10173.74,-8221.81,0.94
2025-07,64,50.0,246.0,2359.46,12117.84,1944.1000000000004,23.19
2025-08,65,46.2,158.9,597.98,11857.37,-260.46999999999935,4.93
2025-09,41,65.9,382.2,3771.28,15051.31,3193.9399999999987,31.81
