Date,Open,High,Low,Close,Volume
2020-01-01,1.1,1.10516,1.09665,1.10285,72944
2020-01-02,1.10331,1.10342,1.10114,1.10248,97666
2020-01-03,1.10252,1.10613,1.10252,1.10613,100634
2020-01-04,1.10644,1.1155,1.1062,1.11506,62895
2020-01-05,1.11536,1.11572,1.11475,1.11477,75608
2020-01-06,1.11464,1.11464,1.11349,1.11354,86184
2020-01-07,1.11355,1.12336,1.11301,1.12236,61453
2020-01-08,1.12265,1.12772,1.12172,1.12768,67637
2020-01-09,1.12715,1.12731,1.1237,1.12568,74162
2020-01-10,1.12513,1.12928,1.12443,1.12865,181798
2020-01-11,1.12873,1.12877,1.12635,1.12645,79454
2020-01-12,1.12645,1.12683,1.12255,1.12372,74447
2020-01-13,1.12228,1.12708,1.12018,1.12492,61462
2020-01-14,1.1256,1.12572,1.11394,1.11444,50277
2020-01-15,1.11412,1.11739,1.10291,1.10395,69159
2020-01-16,1.1034,1.10342,1.09801,1.09991,96504
2020-01-17,1.0999,1.10306,1.09182,1.09407,83423
2020-01-18,1.09281,1.09628,1.09154,1.09531,88429
2020-01-19,1.09495,1.09882,1.0872,1.09059,57348
2020-01-20,1.09054,1.09327,1.07628,1.08255,106372
2020-01-21,1.08326,1.09447,1.08319,1.08982,54067
2020-01-22,1.08987,1.09199,1.089,1.08942,52215
2020-01-23,1.08923,1.0899,1.08903,1.08986,60758
2020-01-24,1.09023,1.09206,1.08121,1.08228,52589
2020-01-25,1.08292,1.08343,1.07764,1.07869,74498
2020-01-26,1.07801,1.07996,1.07767,1.07904,87250
2020-01-27,1.07928,1.08251,1.07155,1.07299,147763
2020-01-28,1.07377,1.07854,1.07265,1.07451,76712
2020-01-29,1.07431,1.07511,1.07005,1.07155,64468
2020-01-30,1.07186,1.07232,1.06751,1.0698,55499
2020-01-31,1.06996,1.07039,1.06583,1.06651,99398
2020-02-01,1.06696,1.07736,1.06582,1.07621,82593
2020-02-02,1.07657,1.07762,1.07653,1.07722,154448
2020-02-03,1.07717,1.07735,1.06921,1.07175,56004
2020-02-04,1.07241,1.07576,1.07213,1.07573,72311
2020-02-05,1.0747,1.07492,1.06226,1.06968,101652
2020-02-06,1.07037,1.07105,1.0701,1.0703,50234
2020-02-07,1.07075,1.07255,1.05627,1.06004,55705
2020-02-08,1.06092,1.06118,1.05091,1.05211,60977
2020-02-09,1.05226,1.05399,1.05124,1.05246,54030
2020-02-10,1.05284,1.05748,1.04981,1.0565,104331
2020-02-11,1.0556,1.0593,1.05453,1.05791,50080
2020-02-12,1.0571,1.0598,1.05645,1.05755,75703
2020-02-13,1.05761,1.0604,1.04471,1.05603,73126
2020-02-14,1.05657,1.05832,1.04474,1.0482,67241
2020-02-15,1.04879,1.04935,1.04254,1.04376,68207
2020-02-16,1.04317,1.04337,1.03988,1.04102,52319
2020-02-17,1.04127,1.05237,1.04072,1.04637,63672
2020-02-18,1.04701,1.0496,1.0468,1.04881,95783
2020-02-19,1.04944,1.05234,1.03714,1.03995,61244
2020-02-20,1.04003,1.04231,1.03985,1.04086,57503
2020-02-21,1.0414,1.04144,1.03893,1.03905,90568
2020-02-22,1.03845,1.04024,1.03544,1.03547,64355
2020-02-23,1.03593,1.0416,1.03495,1.03838,53635
2020-02-24,1.03878,1.04731,1.03861,1.04415,57585
2020-02-25,1.04433,1.04981,1.04406,1.04971,85615
2020-02-26,1.05049,1.05088,1.04592,1.04597,50854
2020-02-27,1.04602,1.04735,1.04099,1.04409,107522
2020-02-28,1.04412,1.04698,1.04161,1.04573,82809
2020-02-29,1.04515,1.05183,1.04404,1.05112,139393
2020-03-01,1.05027,1.0547,1.04506,1.04925,97530
2020-03-02,1.04978,1.05317,1.04763,1.04819,80760
2020-03-03,1.04776,1.04778,1.04203,1.04241,54531
2020-03-04,1.04217,1.0513,1.02367,1.03572,69710
2020-03-05,1.03573,1.04113,1.03544,1.03937,51333
2020-03-06,1.03905,1.04887,1.03752,1.04692,60019
2020-03-07,1.04698,1.04936,1.04672,1.0474,102919
2020-03-08,1.04722,1.05313,1.04709,1.05283,86961
2020-03-09,1.05329,1.05539,1.05328,1.05538,52786
2020-03-10,1.05593,1.05848,1.04244,1.05234,133439
2020-03-11,1.0524,1.05599,1.05158,1.05405,71544
2020-03-12,1.05468,1.06332,1.05386,1.06246,69037
2020-03-13,1.06272,1.06361,1.06252,1.06323,98654
2020-03-14,1.06308,1.07296,1.06218,1.07176,106105
2020-03-15,1.07125,1.07159,1.05623,1.05876,52178
2020-03-16,1.05887,1.06255,1.05798,1.06193,63521
2020-03-17,1.06137,1.06283,1.06137,1.06282,54425
2020-03-18,1.06284,1.06326,1.05721,1.06143,105240
2020-03-19,1.06153,1.06207,1.06141,1.06188,92740
2020-03-20,1.06284,1.063,1.05132,1.05153,93098
2020-03-21,1.05042,1.05229,1.04347,1.04945,60207
2020-03-22,1.04974,1.05127,1.04972,1.05123,60690
2020-03-23,1.05208,1.05962,1.05128,1.05931,60861
2020-03-24,1.05925,1.06221,1.05734,1.05748,53374
2020-03-25,1.05686,1.05711,1.05299,1.05314,54805
2020-03-26,1.05293,1.05309,1.04993,1.05017,75742
2020-03-27,1.05024,1.05838,1.04901,1.0548,50843
2020-03-28,1.05534,1.05923,1.05456,1.0571,77339
2020-03-29,1.05732,1.05758,1.05358,1.05464,52941
2020-03-30,1.05374,1.0675,1.05332,1.05721,61967
2020-03-31,1.05693,1.05833,1.05635,1.05809,58213
2020-04-01,1.05786,1.06376,1.0578,1.06342,90856
2020-04-02,1.06292,1.06347,1.05993,1.06033,101540
2020-04-03,1.06051,1.06134,1.05664,1.0584,56923
2020-04-04,1.05838,1.05843,1.05606,1.05623,58818
2020-04-05,1.05679,1.05899,1.04679,1.04842,72487
2020-04-06,1.04837,1.04966,1.04827,1.0493,51643
2020-04-07,1.04949,1.05406,1.049,1.05087,94194
2020-04-08,1.05097,1.05268,1.04823,1.05116,59529
2020-04-09,1.05193,1.05231,1.04864,1.05006,64646
2020-04-10,1.0509,1.05138,1.04176,1.04265,56776
2020-04-11,1.04214,1.04218,1.03938,1.03982,76404
2020-04-12,1.03989,1.04195,1.03762,1.03787,75135
2020-04-13,1.03781,1.0383,1.03189,1.03362,51168
2020-04-14,1.0334,1.03577,1.02525,1.03247,73590
2020-04-15,1.03201,1.03467,1.03198,1.03454,50192
2020-04-16,1.03438,1.04467,1.03438,1.04466,67970
2020-04-17,1.04486,1.04726,1.04322,1.0467,73997
2020-04-18,1.04653,1.04872,1.0462,1.04835,67008
2020-04-19,1.04814,1.04827,1.0481,1.04823,63234
2020-04-20,1.04837,1.04985,1.03145,1.03832,93402
2020-04-21,1.03839,1.03925,1.03582,1.0373,62106
2020-04-22,1.03618,1.03819,1.03607,1.03761,84775
2020-04-23,1.03788,1.051,1.03597,1.05061,61232
2020-04-24,1.05055,1.05106,1.04926,1.05101,73705
2020-04-25,1.05121,1.05309,1.05119,1.05274,53832
2020-04-26,1.05272,1.0532,1.05257,1.05284,71521
2020-04-27,1.0518,1.05397,1.04302,1.04682,96705
2020-04-28,1.04648,1.05773,1.04405,1.05232,59143
2020-04-29,1.05218,1.06007,1.05141,1.05694,98721
2020-04-30,1.05687,1.06265,1.05625,1.0617,61597
2020-05-01,1.06254,1.0647,1.05336,1.05746,54563
2020-05-02,1.05688,1.06535,1.05615,1.06459,54194
2020-05-03,1.06461,1.06481,1.05535,1.05797,51860
2020-05-04,1.05708,1.06285,1.05521,1.06052,61337
2020-05-05,1.06152,1.07437,1.0614,1.07257,50698
2020-05-06,1.07286,1.07287,1.06738,1.06858,50786
2020-05-07,1.06799,1.06806,1.06479,1.06527,107585
2020-05-08,1.06564,1.06583,1.06458,1.06557,153399
2020-05-09,1.06475,1.06563,1.06256,1.06303,54185
2020-05-10,1.06395,1.07115,1.05159,1.05468,64515
2020-05-11,1.05411,1.05535,1.05312,1.05431,134843
2020-05-12,1.05327,1.05428,1.0466,1.04879,64676
2020-05-13,1.04869,1.05215,1.04858,1.05083,71063
2020-05-14,1.05019,1.05089,1.04534,1.04632,66134
2020-05-15,1.04552,1.05417,1.04548,1.05411,100999
2020-05-16,1.05428,1.05537,1.04975,1.05088,58066
2020-05-17,1.05081,1.05145,1.04896,1.04897,99794
2020-05-18,1.04804,1.05433,1.04748,1.05316,85865
2020-05-19,1.05329,1.05577,1.04304,1.04722,100169
2020-05-20,1.04719,1.0481,1.04697,1.04792,71305
2020-05-21,1.04853,1.05528,1.0484,1.05497,67855
2020-05-22,1.05532,1.05562,1.04729,1.04733,79096
2020-05-23,1.04783,1.0485,1.04727,1.04764,61107
2020-05-24,1.04731,1.05066,1.04619,1.04914,58725
2020-05-25,1.04941,1.05438,1.04907,1.05351,86625
2020-05-26,1.05413,1.05479,1.04706,1.04755,52319
2020-05-27,1.04712,1.04716,1.03606,1.04017,51707
2020-05-28,1.03976,1.04343,1.03493,1.04226,51999
2020-05-29,1.04301,1.04412,1.04295,1.04412,51892
2020-05-30,1.04328,1.04587,1.04318,1.04572,90675
2020-05-31,1.04564,1.04935,1.04523,1.0478,66177
2020-06-01,1.04813,1.04936,1.04446,1.04455,61071
2020-06-02,1.04411,1.04576,1.0441,1.04555,64916
2020-06-03,1.04649,1.05021,1.04616,1.04728,56924
2020-06-04,1.04772,1.04816,1.04355,1.04383,68358
2020-06-05,1.04403,1.05502,1.04398,1.05337,58361
2020-06-06,1.05354,1.06092,1.05179,1.05693,58079
2020-06-07,1.05676,1.05676,1.05109,1.05112,59504
2020-06-08,1.05097,1.05569,1.04997,1.0541,59398
2020-06-09,1.05423,1.05438,1.04839,1.04937,61842
2020-06-10,1.04934,1.05379,1.049,1.05314,80422
2020-06-11,1.05365,1.06366,1.05346,1.05975,58847
2020-06-12,1.05986,1.05994,1.05597,1.05617,61159
2020-06-13,1.05617,1.06122,1.05585,1.06102,55857
2020-06-14,1.06028,1.07159,1.05575,1.06381,97486
2020-06-15,1.06414,1.06945,1.0636,1.06857,56075
2020-06-16,1.06909,1.07964,1.069,1.07935,76362
2020-06-17,1.07888,1.08036,1.07807,1.07921,81224
2020-06-18,1.07932,1.07971,1.07176,1.07525,51496
2020-06-19,1.07527,1.07754,1.06767,1.07019,50370
2020-06-20,1.06937,1.0703,1.06517,1.06544,62950
2020-06-21,1.06672,1.07003,1.06454,1.06466,132760
2020-06-22,1.06573,1.06664,1.06529,1.06651,87061
2020-06-23,1.06674,1.06831,1.06596,1.06827,53201
2020-06-24,1.0688,1.07405,1.06674,1.07299,61620
2020-06-25,1.07308,1.07367,1.073,1.07364,87895
2020-06-26,1.07242,1.0822,1.07226,1.08164,56476
2020-06-27,1.08159,1.08206,1.08104,1.08112,51489
2020-06-28,1.08141,1.09619,1.08085,1.09598,56384
2020-06-29,1.09578,1.10154,1.0944,1.10103,71586
2020-06-30,1.10121,1.10155,1.09515,1.09693,78031
2020-07-01,1.09649,1.09974,1.08987,1.09078,65871
2020-07-02,1.09096,1.09362,1.09013,1.09291,129212
2020-07-03,1.09203,1.09208,1.09123,1.09201,51982
