Date,Open,High,Low,Close,Volume
2020-01-01,1.25,1.25661,1.24835,1.25173,113975
2020-01-02,1.25217,1.25219,1.24194,1.24636,56677
2020-01-03,1.24595,1.24643,1.24231,1.24359,108943
2020-01-04,1.24362,1.24404,1.23991,1.24012,50429
2020-01-05,1.24035,1.24587,1.24017,1.24523,61506
2020-01-06,1.24541,1.24767,1.24117,1.24329,165445
2020-01-07,1.24345,1.24759,1.24302,1.24633,85745
2020-01-08,1.24713,1.25991,1.24664,1.25935,88608
2020-01-09,1.25994,1.27025,1.25978,1.26877,97629
2020-01-10,1.26811,1.26908,1.26291,1.26706,101498
2020-01-11,1.26678,1.26683,1.26455,1.26482,76715
2020-01-12,1.26343,1.26858,1.26302,1.26761,67308
2020-01-13,1.26822,1.26834,1.25719,1.25748,60667
2020-01-14,1.25794,1.26037,1.24601,1.25119,74454
2020-01-15,1.25027,1.25406,1.25016,1.25377,74545
2020-01-16,1.25439,1.25444,1.25235,1.25338,53087
2020-01-17,1.25386,1.26573,1.25372,1.26565,62237
2020-01-18,1.26493,1.26597,1.26255,1.2631,137965
2020-01-19,1.26341,1.26393,1.25563,1.25638,51957
2020-01-20,1.25518,1.25643,1.2499,1.25026,78975
2020-01-21,1.25049,1.25208,1.2471,1.24986,95345
2020-01-22,1.24998,1.25616,1.24291,1.24894,61176
2020-01-23,1.25003,1.26342,1.24882,1.26298,112517
2020-01-24,1.26382,1.2656,1.26127,1.262,61152
2020-01-25,1.26053,1.26298,1.25831,1.26237,57603
2020-01-26,1.26164,1.26901,1.26155,1.26813,65732
2020-01-27,1.2676,1.27094,1.26513,1.26815,63533
2020-01-28,1.2681,1.27244,1.26805,1.2718,53804
2020-01-29,1.27179,1.2781,1.2707,1.27481,63517
2020-01-30,1.27513,1.2847,1.27124,1.28059,74400
2020-01-31,1.281,1.28113,1.27225,1.27231,69195
2020-02-01,1.27135,1.277,1.27124,1.27676,76272
2020-02-02,1.27601,1.27765,1.27408,1.27645,58369
2020-02-03,1.2762,1.28793,1.26982,1.27774,129467
2020-02-04,1.2777,1.27786,1.27412,1.27553,62484
2020-02-05,1.27595,1.28934,1.27369,1.28606,104701
2020-02-06,1.28669,1.28777,1.27405,1.27414,65322
2020-02-07,1.27408,1.28867,1.27336,1.28202,118415
2020-02-08,1.28049,1.28286,1.27719,1.27859,81966
2020-02-09,1.27937,1.29053,1.27821,1.28819,56728
2020-02-10,1.28849,1.2975,1.2883,1.29717,52151
2020-02-11,1.29692,1.30565,1.2969,1.30481,114658
2020-02-12,1.30357,1.31291,1.30254,1.31113,98377
2020-02-13,1.31154,1.32699,1.31151,1.32684,62039
2020-02-14,1.32829,1.33142,1.32167,1.32461,93514
2020-02-15,1.32378,1.32722,1.32045,1.32067,64413
2020-02-16,1.32101,1.32227,1.31567,1.31609,109629
2020-02-17,1.3157,1.32318,1.31557,1.32186,51477
2020-02-18,1.32227,1.32355,1.31246,1.31401,65378
2020-02-19,1.31362,1.32046,1.31192,1.32002,113802
2020-02-20,1.32029,1.32097,1.31669,1.31885,104674
2020-02-21,1.31849,1.3198,1.31041,1.31184,51823
2020-02-22,1.312,1.31218,1.30361,1.30423,67537
2020-02-23,1.30501,1.30968,1.29469,1.29842,53295
2020-02-24,1.29871,1.29998,1.28505,1.28836,78033
2020-02-25,1.28868,1.29248,1.28182,1.2908,112862
2020-02-26,1.2916,1.29721,1.28896,1.29668,71172
2020-02-27,1.29779,1.30508,1.29664,1.30364,61405
2020-02-28,1.3022,1.30233,1.30015,1.30038,68305
2020-02-29,1.30203,1.30241,1.30139,1.30219,53899
2020-03-01,1.30095,1.30699,1.29916,1.30254,56473
2020-03-02,1.303,1.3081,1.30224,1.30722,83416
2020-03-03,1.30635,1.31949,1.30525,1.31073,116055
2020-03-04,1.3103,1.32406,1.30805,1.3118,66154
2020-03-05,1.31217,1.31267,1.29869,1.29991,71516
2020-03-06,1.29978,1.30152,1.29583,1.29777,63328
2020-03-07,1.29821,1.30268,1.29342,1.29841,162657
2020-03-08,1.29852,1.29958,1.28904,1.2941,111062
2020-03-09,1.29475,1.29611,1.29058,1.29206,93389
2020-03-10,1.29206,1.29326,1.2834,1.28362,59253
2020-03-11,1.28387,1.28578,1.28075,1.28085,80116
2020-03-12,1.281,1.28436,1.2809,1.28394,75090
2020-03-13,1.28323,1.29791,1.28302,1.29786,52092
2020-03-14,1.29785,1.29792,1.2924,1.29283,55045
