Date,Open,High,Low,Close,Volume
2020-01-01,110.0,110.06331,109.46332,109.59889,54335
2020-01-02,109.55868,110.46368,109.42508,110.29337,54822
2020-01-03,110.32872,111.16966,110.31976,111.06395,59712
2020-01-04,111.07349,111.08252,110.25043,110.26403,119318
2020-01-05,110.19012,110.23729,109.2663,109.38943,62382
2020-01-06,109.34527,109.3493,108.31421,108.37989,94979
2020-01-07,108.37203,109.30484,108.36911,109.30141,105231
2020-01-08,109.33621,109.68488,109.11001,109.45285,63294
2020-01-09,109.52051,109.5289,109.21984,109.45032,63545
2020-01-10,109.44845,110.05982,109.07537,109.76545,63768
2020-01-11,109.73604,109.74913,108.96971,109.28031,53088
2020-01-12,109.36045,109.40203,109.10699,109.14439,50903
2020-01-13,109.10984,109.11561,108.46487,108.49783,111149
2020-01-14,108.56153,108.91155,108.52646,108.77301,50812
2020-01-15,108.86726,108.96857,108.08532,108.29493,57460
2020-01-16,108.22973,108.52437,108.20421,108.45357,67284
2020-01-17,108.51641,109.12093,108.50136,109.05709,167171
2020-01-18,109.06273,109.06524,109.05408,109.06464,54858
2020-01-19,109.13828,109.62859,109.06645,109.52753,50707
2020-01-20,109.54452,109.86863,108.56059,108.924,70013
2020-01-21,108.96085,108.98661,108.17822,108.22857,73212
2020-01-22,108.24979,108.29186,108.24895,108.28907,82223
2020-01-23,108.4246,108.49525,108.11973,108.19071,62943
2020-01-24,108.19719,108.23274,107.26284,107.43082,81362
2020-01-25,107.50284,107.54212,107.05931,107.1069,61928
2020-01-26,107.14275,107.74444,106.86901,107.73066,52220
2020-01-27,107.61508,107.9177,107.32751,107.42424,62193
2020-01-28,107.39788,107.64419,107.23192,107.41791,50679
2020-01-29,107.40733,107.58012,107.21439,107.21814,80280
2020-01-30,107.22542,107.63647,107.22107,107.31248,68706
2020-01-31,107.20505,107.53491,107.20062,107.52027,92810
2020-02-01,107.47049,107.91618,107.46041,107.87021,60626
2020-02-02,107.95054,108.33805,107.92142,108.19723,60193
2020-02-03,108.23863,108.7075,108.18352,108.68834,62089
2020-02-04,108.66396,109.10929,108.65093,108.98045,63173
2020-02-05,108.85016,109.24119,108.82154,109.1273,74763
2020-02-06,109.04216,109.40813,108.55807,108.87268,68511
